State,Vehicle Purchase Regulation,Fuel Type,Vehicle Purchase Regulation Source
California,Medium- and Heavy-Duty Zero Emission Vehicle (ZEV) Requirement,ZEV,https://afdc.energy.gov/laws/12473
California,Zero Emission Vehicle (ZEV) Promotion Plan,ZEV,https://afdc.energy.gov/laws/10212
Colorado,Zero Emission Vehicle (ZEV) Sales Requirements,ZEV,https://afdc.energy.gov/laws/12122
District of Columbia,Alternative Fuel Vehicle Acquisition Requirements,All,https://afdc.energy.gov/laws/4323
Maine,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,"Electricity, Hydrogen",https://afdc.energy.gov/laws/4460
Maryland,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,"Electricity, Hydrogen",https://afdc.energy.gov/laws/6412
Maryland,Medium- and Heavy-Duty Zero Emission Vehicle (ZEV) Requirement,"Electricity, Hydrogen",https://afdc.energy.gov/laws/13276
Massachusetts,Medium- and Heavy-Duty Zero Emission Vehicle (ZEV) Requirement,"Electricity, Hydrogen",https://afdc.energy.gov/laws/13220
Minnesota,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12653
Nevada,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12702
New Jersey,Zero Emission Vehicle (ZEV) Production Requirements and Low Emission Vehicle (LEV) Standards,"Electricity, Hydrogen",https://afdc.energy.gov/laws/5779
New Mexico,Zero Emission Vehicle (ZEV) Sales Requirements and Low Emission Vehicle (LEV) Standards,"Electricity, Hydrogen",https://afdc.energy.gov/laws/12932
